MatchId,Player,Team,RatingPoints,EstimatedRating,CoachesVotes,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,Turnovers,Tackles,PressureActs,ContestedPossessions,GroundBallGets,Intercepts,Marks,InterceptMarks,ContestedMarks,TotalClearances,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,ScoreLaunches,Season,Round
20160102,Dom Tyson,Melbourne,5.7,9.58,0,62,65,76,8,9,17,70.6,183,3,4,2,11.0,7,6.0,3,5,0.0,1,3,0.0,0,0.0,0,0,0,2,2,0.0,2016,1
20160102,Cameron Pedersen,Melbourne,5.7,10.06,0,61,56,83,8,4,12,66.7,215,2,4,4,15.0,6,3.0,3,4,0.0,1,1,6.0,1,0.0,1,0,0,0,3,2.0,2016,1
20160102,Devon Smith,Greater Western Sydney,5.0,11.69,0,73,72,75,9,7,16,62.5,330,2,4,2,16.0,6,6.0,0,5,0.0,0,0,0.0,0,0.0,4,1,2,0,7,0.0,2016,1
20160102,Tomas Bugg,Melbourne,4.0,6.17,0,41,42,74,5,8,13,69.2,50,0,3,3,8.0,6,4.0,2,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,2016,1
20160102,Adam Kennedy,Greater Western Sydney,3.8,6.35,0,57,71,80,11,5,16,68.8,219,1,4,3,8.0,3,1.0,2,5,1.0,1,0,0.0,0,0.0,0,0,0,0,2,1.0,2016,1
20160102,Toby Greene,Greater Western Sydney,2.5,9.1,0,51,56,79,9,3,12,75.0,106,0,2,3,14.0,3,2.0,1,3,1.0,0,0,0.0,0,0.0,2,1,1,0,5,0.0,2016,1
20160102,James Harmes,Melbourne,2.3,6.17,0,46,33,64,4,4,8,87.5,33,2,1,1,10.0,3,3.0,0,2,0.0,0,0,0.0,0,0.0,1,1,0,1,4,0.0,2016,1
20160102,Adam Tomlinson,Greater Western Sydney,1.0,6.25,0,48,42,88,6,3,9,55.6,175,2,2,2,11.0,4,2.0,0,4,0.0,1,0,0.0,0,0.0,2,0,1,0,6,0.0,2016,1
20160102,Oscar McDonald,Melbourne,-1.1,4.3,0,32,31,66,3,8,11,45.5,59,1,3,0,5.0,4,3.0,3,3,1.0,1,0,0.0,0,0.0,0,0,0,0,2,0.0,2016,1
20160102,Sam Frost,Melbourne,-2.5,6.2,0,17,25,66,4,3,7,57.1,121,2,2,0,8.0,0,0.0,0,4,0.0,0,0,1.0,0,0.0,1,0,1,0,2,0.0,2016,1
20160102,James Stewart,Greater Western Sydney,-2.7,5.91,0,8,15,65,2,2,4,50.0,73,0,1,0,6.0,1,0.0,0,2,0.0,0,0,0.0,0,0.0,1,0,1,0,2,0.0,2016,1
20160103,David Zaharakis,Essendon,21.9,9.6,5,132,125,84,21,12,33,72.7,806,8,8,2,23.0,12,7.0,3,5,0.0,0,5,0.0,0,0.0,4,2,2,1,7,0.0,2016,1
20160103,Michael Rischitelli,Gold Coast,20.4,9.15,0,108,100,79,7,20,27,92.6,245,3,1,7,17.0,13,10.0,2,3,0.0,0,10,0.0,0,0.0,0,0,0,0,10,2.0,2016,1
20160103,Aaron Hall,Gold Coast,18.6,11.98,10,129,125,77,19,17,36,75.0,695,9,5,3,11.0,11,6.0,2,4,0.0,0,5,0.0,0,0.0,3,2,1,0,11,2.0,2016,1
20160103,Zach Merrett,Essendon,16.7,10.91,0,114,119,74,18,13,31,80.6,510,4,3,3,23.0,12,7.0,4,10,0.0,0,4,0.0,0,0.0,0,0,0,0,4,1.0,2016,1
20160103,Steven May,Gold Coast,16.3,11.12,1,96,67,93,12,4,16,81.3,405,3,1,2,11.0,4,2.0,5,6,2.0,2,0,0.0,0,0.0,0,0,0,0,6,2.0,2016,1
20160103,Tom Nicholls,Gold Coast,15.5,10.98,0,95,68,87,5,5,10,70.0,82,1,2,4,12.0,6,4.0,3,3,2.0,0,2,57.0,24,14.0,1,0,0,0,5,4.0,2016,1
20160103,Trent McKenzie,Gold Coast,15.4,7.9,0,80,89,57,13,4,17,76.5,226,3,1,5,10.0,4,3.0,9,7,5.0,0,0,0.0,0,0.0,1,0,0,0,5,4.0,2016,1
20160103,Jesse Lonergan,Gold Coast,15.4,6.77,0,96,88,67,9,11,20,80.0,215,4,2,6,19.0,8,8.0,6,3,1.0,0,2,0.0,0,0.0,1,1,0,1,7,3.0,2016,1
20160103,Sam Day,Gold Coast,14.7,7.49,0,96,68,95,7,8,15,93.3,173,3,3,2,10.0,7,2.0,2,4,0.0,1,1,14.0,2,0.0,2,2,0,2,9,2.0,2016,1
20160103,Dion Prestia,Gold Coast,14.0,12.61,0,107,122,67,13,16,29,65.5,577,8,7,9,27.0,8,7.0,3,3,0.0,0,3,0.0,0,0.0,1,1,0,0,10,2.0,2016,1
20160103,Brendon Goddard,Essendon,13.4,11.39,0,81,76,83,8,16,24,79.2,139,0,3,1,16.0,10,8.0,4,7,0.0,0,3,0.0,0,0.0,0,0,0,0,3,2.0,2016,1
20160103,Jack Martin,Gold Coast,13.3,9.47,0,91,91,79,8,5,13,84.6,161,2,1,8,20.0,5,4.0,1,4,0.0,0,0,0.0,0,0.0,3,2,0,2,5,0.0,2016,1
20160103,Gary Ablett,Gold Coast,13.1,19.93,8,139,134,87,20,14,34,70.6,551,7,4,7,15.0,14,7.0,3,4,0.0,0,9,0.0,0,0.0,5,1,3,1,11,1.0,2016,1
20160103,Rory Thompson,Gold Coast,13.1,7.84,0,75,61,90,10,4,14,85.7,196,1,1,2,9.0,5,3.0,8,4,2.0,0,0,1.0,1,0.0,0,0,0,0,1,1.0,2016,1
